Account,trade_date,daily_pnl,total_fee,trades,realized_trades,profitable_trades,losing_trades,avg_trade_size_usd,median_trade_size_usd,gross_notional_usd,avg_abs_start_position,buy_trades,sell_trades,long_flag_count,short_flag_count,trade_win_rate,long_short_ratio,net_pnl_after_fees,active_day,classification,value,sentiment_bucket
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,487.25693852,517,246,233,13,2792.42166344294,652.96,1443682.0,20320.760983007985,270,247,95,0,0.9471544715447154,,5865.19567448,1,Greed,60.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,26.565471000000002,124,124,0,124,612.1092741935485,27.465,75901.55,388673.5784709677,0,124,0,0,0.0,,-12373.5563,1,Neutral,47.0,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,149.553903,159,127,127,0,2687.4032704402516,2593.64,427297.12,44.25743018867925,31,128,158,0,1.0,,206.031497,1,Neutral,46.0,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,34.19572673,160,52,52,0,1641.2224999999999,749.985,262595.6,2294.0176638396874,108,52,0,0,1.0,,1095.6531992700002,1,Neutral,49.0,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,29.018782,1,1,0,1,82910.81,82910.81,82910.81,4100.032403,0,1,0,0,0.0,,-6849.788332,1,Fear,25.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,1.35322108,52,0,0,0,1462.824423076923,1406.56,76066.87,1439.3257715911536,52,0,0,0,,,-1.35322108,1,Extreme Fear,16.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,53.50649472,110,50,50,0,1999.099181818182,406.16499999999996,219900.91,2231.093156028273,60,50,0,0,1.0,,2427.3958842800002,1,Fear,33.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,20.67737314,65,10,0,10,1756.5103076923076,500.05,114173.17,2209.4079389796925,55,10,0,0,0.0,,-3190.0328411399996,1,Extreme Fear,15.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,1.26292469,37,0,0,0,1499.4978378378378,1087.51,55481.42,1761.781008961892,37,0,0,0,,,-1.26292469,1,Fear,34.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,20.153151,47,47,47,0,1225.1170212765958,537.51,57580.5,1679.2118602095743,0,47,0,0,1.0,,2078.866537,1,Fear,28.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,22.11483517,65,57,57,0,2676.518153846154,667.83,173973.68,1898.1852033636922,8,57,0,0,1.0,,634.42590683,1,Fear,27.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,41.25995296,53,52,51,1,3326.2756603773582,868.55,176292.61,2106.543783376981,1,52,0,0,0.9807692307692307,,-1107.05753596,1,Extreme Fear,20.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,20.961068,53,52,52,0,2184.328113207547,473.42,115769.39,2105.8546000577358,1,52,0,0,1.0,,1570.792203,1,Fear,34.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,20.268314959999998,27,10,0,10,4259.311481481482,1016.0,115001.41,1960.349140714815,17,10,0,0,0.0,,-2335.6455059600003,1,Neutral,45.0,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,1.54451693,42,0,0,0,1460.115,641.36,61324.83,1987.5384562457143,42,0,0,0,,,-1.54451693,1,Fear,44.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,19.707219000000002,97,97,0,97,580.479381443299,199.95,56306.5,2211.6130708789688,0,97,0,0,0.0,,-5038.173666,1,Fear,26.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,20.92763202,155,83,83,0,730.8744516129032,311.7,113285.54,2225.460494764258,72,83,0,0,1.0,,695.21631698,1,Fear,34.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,0.456405,1,0,0,0,54768.6,54768.6,54768.6,0.00362911,1,0,0,0,,,-0.456405,1,Fear,25.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,0.00035346,1,0,0,0,16.37,16.37,16.37,1e-08,1,0,0,0,,,-0.00035346,1,Fear,38.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,24.037758,88,88,1,87,780.4484090909092,432.9,68679.46,2410.663891193068,0,88,0,0,0.011363636363636364,,-120.023502,1,Fear,29.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,31.977951,125,67,20,47,730.92608,456.91,91365.76,3726.7212799999998,60,65,87,38,0.29850746268656714,2.289473684210526,-165.390321,1,Fear,30.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,129.33009467,689,301,301,0,766.7829027576198,329.3,528313.42,1896.9299853448476,312,377,0,426,1.0,0.0,822.60434833,1,Fear,33.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,51.02067149,411,297,297,0,552.0850851581508,317.15,226906.97,2112.0329157468373,122,289,0,92,1.0,0.0,320.48232851,1,Fear,32.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,119.87578636,603,335,249,86,963.6022222222223,454.32,581052.14,2314.913481997993,297,306,0,185,0.7432835820895523,0.0,-2012.4652563599998,1,Fear,37.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,30.137128,97,97,97,0,887.6931958762888,300.51,86106.24,2414.8681550403094,0,97,0,0,1.0,,3404.55218,1,Fear,39.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,197.963062,568,340,336,4,2593.2515492957746,524.9,1472966.88,7327.711930827465,219,349,463,105,0.9882352941176471,4.40952380952381,2456.180088,1,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,188.105048,680,401,333,68,1679.7829852941175,406.52,1142252.43,2775.747076029412,346,334,529,151,0.830423940149626,3.5033112582781456,1679.147861,1,Greed,63.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,197.03662328000001,330,97,40,57,3782.839757575757,510.94500000000005,1248337.1199999999,1149.3764373162728,162,168,79,145,0.41237113402061853,0.5448275862068965,1772.35658672,1,Greed,60.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,16.916102,338,338,0,338,284.5678402366864,60.54,96183.93,1434.6076916573372,0,338,0,0,0.0,,-4665.787157000001,1,Greed,65.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,0.267131,67,0,0,0,1435.3307462686569,489.96,96167.16,2394.858411895373,67,0,0,0,,,-0.267131,1,Greed,61.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,30.404024,83,83,83,0,1221.0467469879518,446.86,101346.88,2947.6880734708434,0,83,0,0,1.0,,5149.368721,1,Greed,56.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,31.0304917,250,81,81,0,815.50576,494.78999999999996,203876.44,2730.07559976892,169,81,0,0,1.0,,1212.8230773,1,Neutral,53.0,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,10.197932,5,2,0,2,6070.2,5760.81,30351.0,31.886000000000003,2,3,0,5,0.0,0.0,-11.197932,1,Neutral,52.0,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,0.53234,1,1,1,0,1584.35,1584.35,1584.35,374.55,0,1,0,0,1.0,,1583.810415,1,Extreme Greed,78.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,34.129711,4,3,3,0,39530.9875,38206.04,158123.95,7.192575,3,1,0,4,1.0,0.0,174.687749,1,Extreme Greed,84.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,1181.135135,797,306,300,6,6131.710464240904,1059.52,4886973.24,1037.4803581304893,275,522,179,618,0.9803921568627451,0.2896440129449838,15525.749777,1,Extreme Fear,18.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,2463.061921,339,231,189,42,21898.95651917404,4999.54,7423746.26,656.7763962241888,231,108,0,339,0.8181818181818182,0.0,10800.981382999998,1,Fear,39.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,720.081313,313,40,40,0,8678.024504792333,1725.48,2716221.67,8236.382172523961,40,273,0,313,1.0,0.0,5222.465929,1,Fear,32.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,615.664567,863,424,424,0,3079.8473348783314,637.63,2657908.25,8957.41794602103,418,445,0,856,1.0,0.0,7661.64279,1,Fear,37.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,118.03440499999999,353,61,61,0,1965.9329745042492,800.35,693974.34,29523.028365439095,61,292,0,353,1.0,0.0,2519.9781820000003,1,Fear,39.0,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,1377.855618,594,233,0,233,8110.89095959596,807.79,4817869.23,21226.161181161617,233,361,0,594,0.0,0.0,-20415.196179000002,1,Neutral,47.0,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,2487.052566,469,236,66,170,20030.785479744136,1573.78,9394438.39,11774.945701897655,236,233,0,469,0.2796610169491525,0.0,-110663.971266,1,Greed,72.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,273.237342,70,70,66,4,15603.565285714287,3957.51,1092249.57,2550.7235150260713,67,3,0,67,0.9428571428571428,0.0,7883.874984,1,Greed,63.0,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,0.0,1,0,0,0,0.17,0.17,0.17,9.7275e-05,0,1,0,0,,,0.0,1,Greed,60.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,10.268876,93,26,16,10,373.7049462365591,54.64,34754.56,3581.216243763441,49,44,37,40,0.6153846153846154,0.925,148.831196,1,Extreme Greed,86.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,10.251629,95,44,34,10,353.5228421052631,54.74,33584.67,1298.1340635789475,45,50,40,55,0.7727272727272727,0.7272727272727273,151.038275,1,Extreme Greed,90.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,37.465806,162,93,67,26,666.941975308642,392.675,108044.6,554.8493294444445,71,91,109,55,0.7204301075268817,1.981818181818182,109.94447899999999,1,Extreme Greed,83.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,66.816663,213,119,104,15,895.9638028169014,393.61,190840.29,1087.9774090140845,115,98,141,70,0.8739495798319328,2.0142857142857142,166.548797,1,Extreme Greed,90.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,298.312315,407,218,141,77,2149.553218673219,1191.2,874868.16,246.0205274938575,188,219,342,63,0.6467889908256881,5.428571428571429,-614.557523,1,Extreme Greed,83.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,111.648962,446,235,156,79,729.007130044843,499.605,325137.18,47165.13866820628,223,223,354,83,0.6638297872340425,4.265060240963855,668.352352,1,Extreme Greed,82.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,62.202151,433,229,135,94,422.0099076212471,250.0,182730.29,54105.53740076212,208,225,327,104,0.5895196506550219,3.144230769230769,79.01743899999998,1,Extreme Greed,94.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,17.776025,156,77,63,14,333.45923076923077,249.925,52019.64,62572.55584788462,76,80,106,43,0.8181818181818182,2.4651162790697674,655.855175,1,Extreme Greed,93.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,4.469844,69,35,29,6,200.7391304347826,89.85,13851.0,79132.73202376811,54,15,36,30,0.8285714285714286,1.2,103.85128300000001,1,Extreme Greed,80.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,24.451253,225,139,95,44,324.3673333333333,99.29,72982.65,31991.203476133334,106,119,99,112,0.6834532374100719,0.8839285714285714,439.829749,1,Extreme Greed,82.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,75.523391,217,116,76,40,1012.5778341013826,499.72,219729.39,28405.50831156682,127,90,160,50,0.6551724137931034,3.2,-583.814032,1,Extreme Greed,79.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,62.761001,169,93,74,19,1110.83224852071,254.47,187730.65,4753.494577159763,69,100,100,65,0.7956989247311828,1.5384615384615385,130.903158,1,Extreme Greed,75.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,67.285783,207,115,78,37,946.0768115942029,486.77,195837.9,1079.5460717391304,116,91,128,74,0.6782608695652174,1.7297297297297298,98.24686100000001,1,Extreme Greed,77.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,29.21348375,206,108,92,16,388.948786407767,100.475,80123.45,7803.033716595,87,119,53,59,0.8518518518518519,0.8983050847457628,9522.52074625,1,Extreme Greed,78.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,17.77266812,154,87,71,16,315.52253246753247,99.92,48590.47,7754.569884961039,60,94,26,63,0.8160919540229885,0.4126984126984127,5572.7555798799995,1,Extreme Greed,84.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,16.10546943,193,108,97,11,247.12725388601035,92.45,47695.56,12329.910786906736,66,127,35,57,0.8981481481481481,0.6140350877192983,4442.1494805699995,1,Extreme Greed,81.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,6.30947724,140,75,73,2,140.36935714285713,53.53,19651.71,7965.745882435714,70,70,11,80,0.9733333333333334,0.1375,1277.53656976,1,Extreme Greed,80.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,2.982829,78,37,37,0,92.37217948717948,60.83,7205.03,7240.973006282051,28,50,0,55,1.0,0.0,1187.37589,1,Extreme Greed,76.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,7.22773423,112,61,60,1,165.78285714285715,98.37,18567.68,13529.946153857143,30,82,0,49,0.9836065573770492,0.0,9058.94191177,1,Extreme Greed,78.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,9.32634692,98,48,48,0,259.2459183673469,99.97999999999999,25406.1,8507.362728510205,33,65,5,39,1.0,0.1282051282051282,14676.46131708,1,Extreme Greed,84.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,2.907485,69,16,16,0,129.80536231884057,74.26,8956.57,4978.822696362319,27,42,3,46,1.0,0.06521739130434782,386.268747,1,Greed,72.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,3.66824976,86,36,36,0,159.67825581395348,82.99,13732.33,6010.8143688139535,20,66,0,52,1.0,0.0,4004.34379924,1,Extreme Greed,75.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,2.81362784,102,43,43,0,77.67176470588235,49.88,7922.52,9452.173852490881,31,71,0,70,1.0,0.0,551.19631416,1,Extreme Greed,79.0,Greed
